,Дата транзакции,Сумма в RUB,Месяц,БЕ
0,2021-04-01,-475861.45437994116,4,5
1,2021-04-02,-527098.5931141201,4,5
2,2021-04-03,-535262.7421348939,4,5
3,2021-04-04,-535262.7421348939,4,5
4,2021-04-05,-535262.7421348939,4,5
5,2021-04-06,-535262.7421348939,4,5
6,2021-04-07,-15217170.42936922,4,5
7,2021-04-08,-15417478.870895388,4,5
8,2021-04-09,-15417478.870895388,4,5
9,2021-04-10,-15533564.99737785,4,5
10,2021-04-11,-15533564.99737785,4,5
11,2021-04-12,-15533564.99737785,4,5
12,2021-04-13,-15701653.298638435,4,5
13,2021-04-14,-71624869.19846068,4,5
14,2021-04-15,-72137546.13729788,4,5
15,2021-04-16,-72137546.13729788,4,5
16,2021-04-17,-72189949.509218,4,5
17,2021-04-18,-72279093.0678295,4,5
18,2021-04-19,-72279093.0678295,4,5
19,2021-04-20,-72279093.0678295,4,5
20,2021-04-21,-116895188.74931136,4,5
21,2021-04-22,-117018985.39507414,4,5
22,2021-04-23,-117064397.22338425,4,5
23,2021-04-24,-117064397.22338425,4,5
24,2021-04-25,-117064397.22338425,4,5
25,2021-04-26,-117211851.31072585,4,5
26,2021-04-27,-117211851.31072585,4,5
27,2021-04-28,-138000985.1606702,4,5
28,2021-04-29,-138588790.50163224,4,5
29,2021-04-30,-138658605.5288389,4,5
30,2021-05-01,-168992.52327847428,5,5
31,2021-05-02,-168992.52327847428,5,5
32,2021-05-03,-168992.52327847428,5,5
33,2021-05-04,-168992.52327847428,5,5
34,2021-05-05,-168992.52327847428,5,5
35,2021-05-06,-168992.52327847428,5,5
36,2021-05-07,-227104.00635378354,5,5
37,2021-05-08,-302006.1247301763,5,5
38,2021-05-09,-302006.1247301763,5,5
39,2021-05-10,-6501302.47027091,5,5
40,2021-05-11,-6870755.448065793,5,5
41,2021-05-12,-52802041.263728954,5,5
42,2021-05-13,-56399141.67989649,5,5
43,2021-05-14,-57443939.04361184,5,5
44,2021-05-15,-57443939.04361184,5,5
45,2021-05-16,-57444971.15591814,5,5
46,2021-05-17,-57444971.15591814,5,5
47,2021-05-18,-57668585.25595618,5,5
48,2021-05-19,-107112519.90788561,5,5
49,2021-05-20,-107591293.1811337,5,5
50,2021-05-21,-107614117.9112331,5,5
51,2021-05-22,-107614117.9112331,5,5
52,2021-05-23,-107614117.9112331,5,5
53,2021-05-24,-107679148.15500057,5,5
54,2021-05-25,-107832680.65461622,5,5
55,2021-05-26,-130159324.73619148,5,5
56,2021-05-27,-130191850.93890755,5,5
57,2021-05-28,-130191850.93890755,5,5
58,2021-05-29,-130191850.93890755,5,5
59,2021-05-30,-130581041.10338828,5,5
60,2021-05-31,-130581041.10338828,5,5
61,2021-06-01,0.0,6,5
62,2021-06-02,-2565804.7988625984,6,5
63,2021-06-03,-2565804.7988625984,6,5
64,2021-06-04,-2565804.7988625984,6,5
65,2021-06-05,-2565804.7988625984,6,5
66,2021-06-06,-2565804.7988625984,6,5
67,2021-06-07,-2638781.6149609257,6,5
68,2021-06-08,-3040979.231897972,6,5
69,2021-06-09,-48107807.49973892,6,5
70,2021-06-10,-50878625.83062068,6,5
71,2021-06-11,-51008545.60137131,6,5
72,2021-06-12,-51008545.60137131,6,5
73,2021-06-13,-55742259.56826298,6,5
74,2021-06-14,-55742259.56826298,6,5
75,2021-06-15,-55789884.91560002,6,5
76,2021-06-16,-88458320.90370938,6,5
77,2021-06-17,-88497591.71962836,6,5
78,2021-06-18,-88497591.71962836,6,5
79,2021-06-19,-88506569.67434002,6,5
80,2021-06-20,-88506569.67434002,6,5
81,2021-06-21,-88506569.67434002,6,5
82,2021-06-22,-88506569.67434002,6,5
83,2021-06-23,-106472102.7439507,6,5
84,2021-06-24,-106472102.7439507,6,5
85,2021-06-25,-106482087.22703852,6,5
86,2021-06-26,-106506468.94625716,6,5
87,2021-06-27,-106532550.059487,6,5
88,2021-06-28,-106935049.50596559,6,5
89,2021-06-29,-106979641.22108057,6,5
90,2021-06-30,-111672230.19380262,6,5
