,Дата транзакции,Сумма в RUB,БЕ
0,2021-01-01,-7102442.149008841,0
1,2021-01-02,-308071.28665885597,0
2,2021-01-03,-4668610.537805977,0
3,2021-01-04,0.0,0
4,2021-01-05,-47053110.44757972,0
5,2021-01-06,-154767.04004197157,0
6,2021-01-07,-3982160.551324406,0
7,2021-01-08,-1848392.0708121636,0
8,2021-01-09,-2027838.4861551456,0
9,2021-01-10,-30375241.33079194,0
10,2021-01-11,0.0,0
11,2021-01-12,-37060171.05907352,0
12,2021-01-13,-444687.7860136697,0
13,2021-01-14,-526118.2062273913,0
14,2021-01-15,0.0,0
15,2021-01-16,-3800622.084663947,0
16,2021-01-17,-64652416.70260656,0
17,2021-01-18,-13122848.871321147,0
18,2021-01-19,-361679061.1591389,0
19,2021-01-20,0.0,0
20,2021-01-21,-16237469.474913819,0
21,2021-01-22,-31417690.651428893,0
22,2021-01-23,-16610307.683319353,0
23,2021-01-24,-19840401.247327086,0
24,2021-01-25,0.0,0
25,2021-01-26,-539221237.5540563,0
26,2021-01-27,-4319494.866795154,0
27,2021-01-28,-14484091.059404932,0
28,2021-01-29,-3908653.9383261316,0
29,2021-01-30,0.0,0
30,2021-01-31,-4068527.0242661233,0
31,2021-02-01,-18679.02994073295,0
32,2021-02-02,-137364732.94780785,0
33,2021-02-03,0.0,0
34,2021-02-04,0.0,0
35,2021-02-05,-3182501.8964043683,0
36,2021-02-06,-698328.926759722,0
37,2021-02-07,-12369111.420127176,0
38,2021-02-08,-1168109.6772976501,0
39,2021-02-09,0.0,0
40,2021-02-10,0.0,0
41,2021-02-11,0.0,0
42,2021-02-12,0.0,0
43,2021-02-13,-2889534.879815362,0
44,2021-02-14,-33903089.674783714,0
45,2021-02-15,-286345.8382637708,0
46,2021-02-16,-237267036.936546,0
47,2021-02-17,0.0,0
48,2021-02-18,-20022967.749299254,0
49,2021-02-19,-8511327.085730527,0
50,2021-02-20,-20531063.76859154,0
51,2021-02-21,-17970897.885587648,0
52,2021-02-22,-7918197.31131816,0
53,2021-02-23,-477386462.9151849,0
54,2021-02-24,-872855.1744628462,0
55,2021-02-25,-19890579.99518528,0
56,2021-02-26,-403374.2580121067,0
57,2021-02-27,0.0,0
58,2021-02-28,-86088848.7915888,0
59,2021-03-01,0.0,0
60,2021-03-02,-322007036.2244108,0
61,2021-03-03,0.0,0
62,2021-03-04,-16017961.900635058,0
63,2021-03-05,-6102150.034890256,0
64,2021-03-06,-1282838.9692616223,0
65,2021-03-07,-8345664.357985369,0
66,2021-03-08,-70375.99752998474,0
67,2021-03-09,0.0,0
68,2021-03-10,-611405.3029504493,0
69,2021-03-11,-6482368.886541635,0
70,2021-03-12,-30989.272977653676,0
71,2021-03-13,-462986.0538511721,0
72,2021-03-14,-23821904.533017967,0
73,2021-03-15,-1362312.6959990833,0
74,2021-03-16,-83352088.46270542,0
75,2021-03-17,-1295899.997617763,0
76,2021-03-18,-13342863.683562225,0
77,2021-03-19,-1589652.52596513,0
78,2021-03-20,-2088560.6574310735,0
79,2021-03-21,-100395803.04845414,0
80,2021-03-22,-6657185.291338667,0
81,2021-03-23,-481578736.4410731,0
82,2021-03-24,-3546287.875656331,0
83,2021-03-25,-24680300.391214382,0
84,2021-03-26,-1654415.527165738,0
85,2021-03-27,-5474188.951781037,0
86,2021-03-28,-25686695.09605042,0
87,2021-03-29,0.0,0
88,2021-03-30,-375496315.9149232,0
89,2021-03-31,0.0,0
90,2021-04-01,-22479632.741847467,0
91,2021-04-02,-7152604.61770789,0
92,2021-04-03,0.0,0
93,2021-04-04,-11036340.494378103,0
94,2021-04-05,0.0,0
95,2021-04-06,-51895237.31867232,0
96,2021-04-07,-1612376.2360752837,0
97,2021-04-08,-7216225.97144855,0
98,2021-04-09,0.0,0
99,2021-04-10,-618507.0730872991,0
100,2021-04-11,-37191961.66410854,0
101,2021-04-12,-198832.22921417726,0
102,2021-04-13,-19519011.170188814,0
103,2021-04-14,-1451463.5913439866,0
104,2021-04-15,-7360538.587989664,0
105,2021-04-16,0.0,0
106,2021-04-17,-5083845.860454725,0
107,2021-04-18,-74048050.13276333,0
108,2021-04-19,-4656911.854927519,0
109,2021-04-20,-339122207.68251216,0
110,2021-04-21,-5302704.79841867,0
111,2021-04-22,-23744906.03366941,0
112,2021-04-23,-4391011.785146525,0
113,2021-04-24,-14560486.631399395,0
114,2021-04-25,-44081507.637017846,0
115,2021-04-26,0.0,0
116,2021-04-27,-468440571.32292587,0
117,2021-04-28,-2141211.947804635,0
118,2021-04-29,-68925732.74299504,0
119,2021-04-30,0.0,0
120,2021-05-01,0.0,0
121,2021-05-02,-10600757.888778126,0
122,2021-05-03,-321105.9457029462,0
123,2021-05-04,-170482127.55835125,0
124,2021-05-05,-2386561.2623856636,0
125,2021-05-06,-6368152.083334363,0
126,2021-05-07,0.0,0
127,2021-05-08,-909849.449153296,0
128,2021-05-09,-15862214.78170767,0
129,2021-05-10,-893196.9084176595,0
130,2021-05-11,-2714051.6061787102,0
131,2021-05-12,-272227.5788191151,0
132,2021-05-13,-2537706.4625860336,0
133,2021-05-14,0.0,0
134,2021-05-15,-4070562.896523729,0
135,2021-05-16,-109023521.5186262,0
136,2021-05-17,-188208.03501215656,0
137,2021-05-18,-185203958.2421511,0
138,2021-05-19,-587006.0925262187,0
139,2021-05-20,-1335213.6242083937,0
140,2021-05-21,0.0,0
141,2021-05-22,-14518445.882425155,0
142,2021-05-23,-23407322.054897495,0
143,2021-05-24,-17030340.40617714,0
