,Дата транзакции,Сумма в RUB,Месяц,БЕ
0,2021-04-01,0.0,4,2
1,2021-04-02,-73734.88839110387,4,2
2,2021-04-03,-155040.35574659816,4,2
3,2021-04-04,-227311.7070026197,4,2
4,2021-04-05,-675624.5159600419,4,2
5,2021-04-06,-807834.1409636878,4,2
6,2021-04-07,-3619599.90381053,4,2
7,2021-04-08,-3619599.9038105295,4,2
8,2021-04-09,-3619599.9038105295,4,2
9,2021-04-10,-3621066.735496012,4,2
10,2021-04-11,-3621066.735496012,4,2
11,2021-04-12,-3622603.280399537,4,2
12,2021-04-13,-3622603.280399537,4,2
13,2021-04-14,-4660456.529408592,4,2
14,2021-04-15,-4660456.529408592,4,2
15,2021-04-16,-4660456.529408592,4,2
16,2021-04-17,-4660456.529408592,4,2
17,2021-04-18,-4661242.187195441,4,2
18,2021-04-19,-4669113.302557649,4,2
19,2021-04-20,-4740020.81225413,4,2
20,2021-04-21,-9640059.868835663,4,2
21,2021-04-22,-9662129.879310308,4,2
22,2021-04-23,-9664805.425111648,4,2
23,2021-04-24,-9664805.425111648,4,2
24,2021-04-25,-9665011.410121555,4,2
25,2021-04-26,-9665995.40564584,4,2
26,2021-04-27,-9665995.40564584,4,2
27,2021-04-28,-10549122.376044348,4,2
28,2021-04-29,-10555330.810054114,4,2
29,2021-04-30,-10555330.810054114,4,2
30,2021-05-01,0.0,5,2
31,2021-05-02,-375.70121107217943,5,2
32,2021-05-03,-375.70121107217943,5,2
33,2021-05-04,-295827.82521442726,5,2
34,2021-05-05,-3208633.848647534,5,2
35,2021-05-06,-3598384.957892109,5,2
36,2021-05-07,-3612705.4962821826,5,2
37,2021-05-08,-3616778.6445802213,5,2
38,2021-05-09,-3620164.406755354,5,2
39,2021-05-10,-3632183.449693734,5,2
40,2021-05-11,-3632183.449693734,5,2
41,2021-05-12,-4140793.8249539235,5,2
42,2021-05-13,-4150326.615229727,5,2
43,2021-05-14,-4254370.079595619,5,2
44,2021-05-15,-4285901.609237061,5,2
45,2021-05-16,-4295131.257989785,5,2
46,2021-05-17,-4295705.961445442,5,2
47,2021-05-18,-4296715.85386127,5,2
48,2021-05-19,-8608695.354565293,5,2
49,2021-05-20,-8618009.125457793,5,2
50,2021-05-21,-8618009.125457793,5,2
51,2021-05-22,-8623586.975621473,5,2
52,2021-05-23,-8623586.975621473,5,2
53,2021-05-24,-8623654.137388697,5,2
54,2021-05-25,-8624074.536606824,5,2
55,2021-05-26,-10154062.77551266,5,2
56,2021-05-27,-10166694.308777697,5,2
57,2021-05-28,-10166694.308777697,5,2
58,2021-05-29,-10167003.54041514,5,2
59,2021-05-30,-10167890.469875112,5,2
60,2021-05-31,-10167890.469875112,5,2
61,2021-06-01,-4882.943843359121,6,2
62,2021-06-02,-637167.0400026583,6,2
63,2021-06-03,-654675.5956810601,6,2
64,2021-06-04,-855877.003805205,6,2
65,2021-06-05,-855877.003805205,6,2
66,2021-06-06,-855877.003805205,6,2
67,2021-06-07,-857079.8121218635,6,2
68,2021-06-08,-857079.8121218635,6,2
69,2021-06-09,-2351896.165118426,6,2
70,2021-06-10,-2356969.82160007,6,2
71,2021-06-11,-2356969.82160007,6,2
72,2021-06-12,-2356969.82160007,6,2
73,2021-06-13,-2356969.82160007,6,2
74,2021-06-14,-2456792.2358179195,6,2
75,2021-06-15,-2457828.0478434004,6,2
76,2021-06-16,-5241033.076733349,6,2
77,2021-06-17,-5250789.285430545,6,2
78,2021-06-18,-5280043.218872763,6,2
79,2021-06-19,-5281079.466663238,6,2
80,2021-06-20,-5283506.552161102,6,2
81,2021-06-21,-5283506.552161102,6,2
82,2021-06-22,-5283506.552161102,6,2
83,2021-06-23,-7104092.591128686,6,2
84,2021-06-24,-7122319.804086371,6,2
85,2021-06-25,-7175213.001133013,6,2
86,2021-06-26,-7182501.439175549,6,2
87,2021-06-27,-7184891.932059351,6,2
88,2021-06-28,-7184891.932059351,6,2
89,2021-06-29,-7184891.932059351,6,2
90,2021-06-30,-8996734.837736279,6,2
