,Дата транзакции,Сумма в RUB,Месяц,БЕ
0,2021-04-01,-6759237.747722994,4,0
1,2021-04-02,-16206643.129110817,4,0
2,2021-04-03,-17878279.864113323,4,0
3,2021-04-04,-19490489.450405773,4,0
4,2021-04-05,-20594060.83921912,4,0
5,2021-04-06,-104218898.51327267,4,0
6,2021-04-07,-105593186.02338631,4,0
7,2021-04-08,-108277592.88933222,4,0
8,2021-04-09,-109979542.42002127,4,0
9,2021-04-10,-111143448.5781072,4,0
10,2021-04-11,-112093455.22637545,4,0
11,2021-04-12,-113043461.8746437,4,0
12,2021-04-13,-289269850.04510427,4,0
13,2021-04-14,-290582024.2584624,4,0
14,2021-04-15,-293537437.7664057,4,0
15,2021-04-16,-295675897.88081247,4,0
16,2021-04-17,-296640649.40102464,4,0
17,2021-04-18,-297586043.4532579,4,0
18,2021-04-19,-298531053.32516795,4,0
19,2021-04-20,-646666575.9915704,4,0
20,2021-04-21,-648018326.2724847,4,0
21,2021-04-22,-651227080.9442904,4,0
22,2021-04-23,-652725668.397626,4,0
23,2021-04-24,-653876040.2819881,4,0
24,2021-04-25,-654934149.610004,4,0
25,2021-04-26,-657994243.0609639,4,0
26,2021-04-27,-1405043913.1024263,4,0
27,2021-04-28,-1411847475.4502077,4,0
28,2021-04-29,-1419529590.1010528,4,0
29,2021-04-30,-1422383616.9957182,4,0
30,2021-05-01,-985965.3705297933,5,0
31,2021-05-02,-2042928.5544294724,5,0
32,2021-05-03,-4006148.055375623,5,0
33,2021-05-04,-37624881.25407572,5,0
34,2021-05-05,-42254268.925061956,5,0
35,2021-05-06,-46166353.389428996,5,0
36,2021-05-07,-48898204.06905378,5,0
37,2021-05-08,-49877105.64700736,5,0
38,2021-05-09,-50827112.29527562,5,0
39,2021-05-10,-51930966.048123755,5,0
40,2021-05-11,-213150761.05312255,5,0
41,2021-05-12,-214585044.89963913,5,0
42,2021-05-13,-216904357.4699193,5,0
43,2021-05-14,-218286667.64955926,5,0
44,2021-05-15,-219251419.16977143,5,0
45,2021-05-16,-220201425.8180397,5,0
46,2021-05-17,-221151432.46630794,5,0
47,2021-05-18,-527185510.99961084,5,0
48,2021-05-19,-528628809.3570298,5,0
49,2021-05-20,-531173239.7726849,5,0
50,2021-05-21,-536118814.43618333,5,0
51,2021-05-22,-537050868.2444565,5,0
52,2021-05-23,-538105112.0056214,5,0
53,2021-05-24,-539017897.462031,5,0
54,2021-05-25,-1115737713.1426587,5,0
55,2021-05-26,-1117828152.1671612,5,0
56,2021-05-27,-1174540956.6307101,5,0
57,2021-05-28,-1254308188.8119605,5,0
58,2021-05-29,-1257536061.6513362,5,0
59,2021-05-30,-1258870371.6916523,5,0
60,2021-05-31,-1260062282.809216,5,0
61,2021-06-01,76316177.7924036,6,0
62,2021-06-02,67990972.23056275,6,0
63,2021-06-03,61643563.00198314,6,0
64,2021-06-04,56772595.67734575,6,0
65,2021-06-05,55588667.06133451,6,0
66,2021-06-06,54621633.964219384,6,0
67,2021-06-07,53654600.86710426,6,0
68,2021-06-08,16524625.301584631,6,0
69,2021-06-09,15139975.357783176,6,0
70,2021-06-10,11383642.958620282,6,0
71,2021-06-11,9861982.86934866,6,0
72,2021-06-12,8908793.990248542,6,0
73,2021-06-13,7970349.983092339,6,0
74,2021-06-14,7031905.975936135,6,0
75,2021-06-15,-178719970.15865862,6,0
76,2021-06-16,-180170488.6552259,6,0
77,2021-06-17,-182377178.01064563,6,0
78,2021-06-18,-183743312.95313856,6,0
79,2021-06-19,-184691505.05588046,6,0
80,2021-06-20,-188755613.43861133,6,0
81,2021-06-21,-189673130.6861731,6,0
82,2021-06-22,-512907737.67268384,6,0
83,2021-06-23,-514554113.6095765,6,0
84,2021-06-24,-518195365.354523,6,0
85,2021-06-25,-522374946.84058696,6,0
86,2021-06-26,-524283386.7170321,6,0
87,2021-06-27,-529047459.1586448,6,0
88,2021-06-28,-530219363.4517011,6,0
89,2021-06-29,-1155780688.9588523,6,0
90,2021-06-30,-1158453318.4375439,6,0
