,Дата транзакции,Сумма в RUB,БЕ
0,2021-01-01,-3892027.4032314555,4
1,2021-01-02,-379425.1633262437,4
2,2021-01-03,-3879358.5106412093,4
3,2021-01-04,-372200.9019187375,4
4,2021-01-05,-3831977.7637802293,4
5,2021-01-06,-337698.6622901103,4
6,2021-01-07,-3884119.5638327263,4
7,2021-01-08,-3934683.6640486023,4
8,2021-01-09,-560310.0118768436,4
9,2021-01-10,-3820108.285343539,4
10,2021-01-11,-435329.82758906117,4
11,2021-01-12,-3910840.4300586917,4
12,2021-01-13,-506581.7907084937,4
13,2021-01-14,-4002855.594957624,4
14,2021-01-15,-3949251.582634051,4
15,2021-01-16,-498448.4991638917,4
16,2021-01-17,-3941428.0805256777,4
17,2021-01-18,-583162.825238491,4
18,2021-01-19,-3919167.8836918008,4
19,2021-01-20,-615805.1108689468,4
20,2021-01-21,-3962964.1721976367,4
21,2021-01-22,-3862400.03638456,4
22,2021-01-23,-385711.9493249651,4
23,2021-01-24,-3830355.921809396,4
24,2021-01-25,-544619.5873487331,4
25,2021-01-26,-3756101.6651686686,4
26,2021-01-27,-467554.519730534,4
27,2021-01-28,-3933711.7398032984,4
28,2021-01-29,-3943887.630405172,4
29,2021-01-30,-294072.82016912353,4
30,2021-01-31,-3896438.386983995,4
31,2021-02-01,-387009.33856714587,4
32,2021-02-02,-3824268.8879202316,4
33,2021-02-03,-356510.17882004305,4
34,2021-02-04,-3926835.6865076683,4
35,2021-02-05,-3958288.9966377425,4
36,2021-02-06,-649686.1760834479,4
37,2021-02-07,-3843933.600544422,4
38,2021-02-08,-368909.8341841627,4
39,2021-02-09,-3899488.237207575,4
40,2021-02-10,-418314.6243237026,4
41,2021-02-11,-3979578.7178774765,4
42,2021-02-12,-4023106.4986781045,4
43,2021-02-13,-557169.3185395923,4
44,2021-02-14,-3911425.2063373625,4
45,2021-02-15,-604555.2112305085,4
46,2021-02-16,-4013255.1427946985,4
47,2021-02-17,-595420.9017405973,4
48,2021-02-18,-3973846.6349959075,4
49,2021-02-19,-3879288.7993734474,4
50,2021-02-20,-424468.4686553071,4
51,2021-02-21,-3970525.0065889372,4
52,2021-02-22,-610804.1553736562,4
53,2021-02-23,-3844365.2983074323,4
54,2021-02-24,-559431.80190167,4
55,2021-02-25,-3978246.7270567385,4
56,2021-02-26,-3956243.344556577,4
57,2021-02-27,-290581.984415816,4
58,2021-02-28,-3824220.4321885738,4
59,2021-03-01,-462014.85144167644,4
60,2021-03-02,-3804508.82842011,4
61,2021-03-03,-398028.6138343175,4
62,2021-03-04,-3928872.7843766417,4
63,2021-03-05,-3963591.1239837515,4
64,2021-03-06,-500413.707018614,4
65,2021-03-07,-3847828.9606430577,4
66,2021-03-08,-312046.8193844308,4
67,2021-03-09,-3901855.7308731508,4
68,2021-03-10,-392484.9302112655,4
69,2021-03-11,-3982864.3951599197,4
70,2021-03-12,-3959119.703681111,4
71,2021-03-13,-602874.6278807655,4
72,2021-03-14,-4020836.4501912068,4
73,2021-03-15,-508063.66105569724,4
74,2021-03-16,-4035902.3918290855,4
75,2021-03-17,-609303.9043077093,4
76,2021-03-18,-4055830.436991247,4
77,2021-03-19,-3971464.15999252,4
78,2021-03-20,-417115.1260642627,4
79,2021-03-21,-4002473.250991763,4
80,2021-03-22,-663113.6290162466,4
81,2021-03-23,-3926217.1927083433,4
82,2021-03-24,-623932.8537679488,4
83,2021-03-25,-3984576.4908650797,4
84,2021-03-26,-3941060.4025599957,4
85,2021-03-27,-327719.82362318697,4
86,2021-03-28,-3908243.8263787823,4
87,2021-03-29,-531703.2227636878,4
88,2021-03-30,-3891273.0530255563,4
89,2021-03-31,-474005.98999665544,4
90,2021-04-01,-3929533.389761402,4
91,2021-04-02,-3965164.8494608677,4
92,2021-04-03,-410714.8437530862,4
93,2021-04-04,-3882847.364101272,4
94,2021-04-05,-358506.63267893565,4
95,2021-04-06,-3860104.3121824223,4
96,2021-04-07,-263481.9990943857,4
97,2021-04-08,-4040389.705910086,4
98,2021-04-09,-4063641.0004087416,4
99,2021-04-10,-566342.2844013808,4
100,2021-04-11,-3898488.1490561925,4
101,2021-04-12,-487315.0727343729,4
102,2021-04-13,-4066468.085953201,4
103,2021-04-14,-535832.6855568148,4
104,2021-04-15,-4055063.9003309594,4
105,2021-04-16,-3977061.1907333843,4
106,2021-04-17,-520960.75482514105,4
107,2021-04-18,-4052356.489918161,4
108,2021-04-19,-605391.8638911243,4
109,2021-04-20,-4010618.60255665,4
110,2021-04-21,-688827.177438704,4
111,2021-04-22,-3996687.3984336746,4
112,2021-04-23,-3970075.239888768,4
113,2021-04-24,-376969.1576594817,4
114,2021-04-25,-3959895.347204666,4
115,2021-04-26,-578298.4224670544,4
116,2021-04-27,-3917143.7353578643,4
117,2021-04-28,-542372.6922103189,4
118,2021-04-29,-4040396.2772565037,4
119,2021-04-30,-3945463.172146296,4
120,2021-05-01,-327911.59331369435,4
121,2021-05-02,-3927547.8294144794,4
122,2021-05-03,-362036.5988215222,4
123,2021-05-04,-3923441.0936779003,4
124,2021-05-05,-391825.00990521087,4
125,2021-05-06,-3992761.197787404,4
126,2021-05-07,-4072314.9501174064,4
127,2021-05-08,-601087.6287617759,4
128,2021-05-09,-3911117.925940261,4
129,2021-05-10,-397072.8199757227,4
130,2021-05-11,-3964381.2224645205,4
131,2021-05-12,-485578.6562469266,4
