,Дата транзакции,Сумма в RUB,БЕ
0,2021-01-01,0.0,3
1,2021-01-02,0.0,3
2,2021-01-03,0.0,3
3,2021-01-04,0.0,3
4,2021-01-05,0.0,3
5,2021-01-06,0.0,3
6,2021-01-07,0.0,3
7,2021-01-08,0.0,3
8,2021-01-09,0.0,3
9,2021-01-10,0.0,3
10,2021-01-11,0.0,3
11,2021-01-12,0.0,3
12,2021-01-13,0.0,3
13,2021-01-14,0.0,3
14,2021-01-15,-96345958.43770133,3
15,2021-01-16,0.0,3
16,2021-01-17,0.0,3
17,2021-01-18,0.0,3
18,2021-01-19,0.0,3
19,2021-01-20,0.0,3
20,2021-01-21,0.0,3
21,2021-01-22,-51557833.73558641,3
22,2021-01-23,0.0,3
23,2021-01-24,0.0,3
24,2021-01-25,0.0,3
25,2021-01-26,0.0,3
26,2021-01-27,0.0,3
27,2021-01-28,0.0,3
28,2021-01-29,0.0,3
29,2021-01-30,0.0,3
30,2021-01-31,0.0,3
31,2021-02-01,0.0,3
32,2021-02-02,0.0,3
33,2021-02-03,0.0,3
34,2021-02-04,0.0,3
35,2021-02-05,0.0,3
36,2021-02-06,0.0,3
37,2021-02-07,0.0,3
38,2021-02-08,0.0,3
39,2021-02-09,0.0,3
40,2021-02-10,0.0,3
41,2021-02-11,0.0,3
42,2021-02-12,-62373264.77350326,3
43,2021-02-13,0.0,3
44,2021-02-14,0.0,3
45,2021-02-15,0.0,3
46,2021-02-16,0.0,3
47,2021-02-17,0.0,3
48,2021-02-18,0.0,3
49,2021-02-19,-71982063.99007845,3
50,2021-02-20,0.0,3
51,2021-02-21,0.0,3
52,2021-02-22,0.0,3
53,2021-02-23,0.0,3
54,2021-02-24,0.0,3
55,2021-02-25,0.0,3
56,2021-02-26,-6855499.490560692,3
57,2021-02-27,0.0,3
58,2021-02-28,0.0,3
59,2021-03-01,0.0,3
60,2021-03-02,0.0,3
61,2021-03-03,0.0,3
62,2021-03-04,0.0,3
63,2021-03-05,0.0,3
64,2021-03-06,0.0,3
65,2021-03-07,0.0,3
66,2021-03-08,0.0,3
67,2021-03-09,0.0,3
68,2021-03-10,0.0,3
69,2021-03-11,0.0,3
70,2021-03-12,-38688083.36910352,3
71,2021-03-13,0.0,3
72,2021-03-14,0.0,3
73,2021-03-15,0.0,3
74,2021-03-16,0.0,3
75,2021-03-17,0.0,3
76,2021-03-18,0.0,3
77,2021-03-19,-72903100.59977642,3
78,2021-03-20,0.0,3
79,2021-03-21,0.0,3
80,2021-03-22,0.0,3
81,2021-03-23,0.0,3
82,2021-03-24,0.0,3
83,2021-03-25,0.0,3
84,2021-03-26,-28864712.193608567,3
85,2021-03-27,0.0,3
86,2021-03-28,0.0,3
87,2021-03-29,0.0,3
88,2021-03-30,0.0,3
89,2021-03-31,0.0,3
90,2021-04-01,0.0,3
91,2021-04-02,0.0,3
92,2021-04-03,0.0,3
93,2021-04-04,0.0,3
94,2021-04-05,0.0,3
95,2021-04-06,0.0,3
96,2021-04-07,0.0,3
97,2021-04-08,0.0,3
98,2021-04-09,-20260130.428940475,3
99,2021-04-10,0.0,3
100,2021-04-11,0.0,3
101,2021-04-12,0.0,3
102,2021-04-13,0.0,3
103,2021-04-14,0.0,3
104,2021-04-15,0.0,3
105,2021-04-16,-64495000.682582766,3
106,2021-04-17,0.0,3
107,2021-04-18,0.0,3
108,2021-04-19,0.0,3
109,2021-04-20,0.0,3
110,2021-04-21,0.0,3
111,2021-04-22,0.0,3
112,2021-04-23,-45340568.92816522,3
113,2021-04-24,0.0,3
114,2021-04-25,0.0,3
115,2021-04-26,0.0,3
116,2021-04-27,0.0,3
117,2021-04-28,0.0,3
118,2021-04-29,0.0,3
119,2021-04-30,-348649.97912504524,3
120,2021-05-01,0.0,3
121,2021-05-02,0.0,3
122,2021-05-03,0.0,3
123,2021-05-04,0.0,3
124,2021-05-05,0.0,3
125,2021-05-06,0.0,3
126,2021-05-07,-8001001.987318188,3
127,2021-05-08,0.0,3
128,2021-05-09,0.0,3
129,2021-05-10,0.0,3
130,2021-05-11,0.0,3
131,2021-05-12,0.0,3
132,2021-05-13,0.0,3
133,2021-05-14,-51520987.40799174,3
134,2021-05-15,0.0,3
135,2021-05-16,0.0,3
136,2021-05-17,0.0,3
137,2021-05-18,0.0,3
138,2021-05-19,0.0,3
139,2021-05-20,0.0,3
140,2021-05-21,-54152570.2019542,3
141,2021-05-22,0.0,3
142,2021-05-23,0.0,3
143,2021-05-24,0.0,3
144,2021-05-25,0.0,3
145,2021-05-26,0.0,3
146,2021-05-27,0.0,3
147,2021-05-28,-14197386.56717373,3
148,2021-05-29,0.0,3
149,2021-05-30,0.0,3
150,2021-05-31,0.0,3
151,2021-06-01,0.0,3
152,2021-06-02,0.0,3
153,2021-06-03,0.0,3
154,2021-06-04,-2965689.71898216,3
155,2021-06-05,0.0,3
156,2021-06-06,0.0,3
157,2021-06-07,0.0,3
158,2021-06-08,0.0,3
159,2021-06-09,0.0,3
160,2021-06-10,0.0,3
161,2021-06-11,-37514584.118594006,3
162,2021-06-12,0.0,3
163,2021-06-13,0.0,3
164,2021-06-14,0.0,3
165,2021-06-15,0.0,3
166,2021-06-16,0.0,3
167,2021-06-17,0.0,3
168,2021-06-18,-55702221.701589935,3
169,2021-06-19,0.0,3
170,2021-06-20,0.0,3
171,2021-06-21,0.0,3
172,2021-06-22,0.0,3
173,2021-06-23,0.0,3
174,2021-06-24,0.0,3
175,2021-06-25,-27588882.541953743,3
176,2021-06-26,0.0,3
177,2021-06-27,0.0,3
178,2021-06-28,0.0,3
179,2021-06-29,0.0,3
180,2021-06-30,0.0,3
