,Дата транзакции,Сумма в RUB,Месяц,БЕ
0,2021-04-01,0.0,4,6
1,2021-04-02,0.0,4,6
2,2021-04-03,-9608.619032113907,4,6
3,2021-04-04,-60924.60586612787,4,6
4,2021-04-05,-166373.1536525479,4,6
5,2021-04-06,-242443.9689428904,4,6
6,2021-04-07,-310212.7550537322,4,6
7,2021-04-08,-315569.38155470777,4,6
8,2021-04-09,-315569.38155470777,4,6
9,2021-04-10,-342835.7166721723,4,6
10,2021-04-11,-342835.7166721723,4,6
11,2021-04-12,-369028.23068179697,4,6
12,2021-04-13,-387298.34273519675,4,6
13,2021-04-14,-1025512.1582379951,4,6
14,2021-04-15,-1025512.1582379951,4,6
15,2021-04-16,-1028065.2169501566,4,6
16,2021-04-17,-1028065.2169501566,4,6
17,2021-04-18,-1028065.2169501566,4,6
18,2021-04-19,-1089887.6065952256,4,6
19,2021-04-20,-1121380.9208837834,4,6
20,2021-04-21,-4703159.912714685,4,6
21,2021-04-22,-4703159.912714684,4,6
22,2021-04-23,-4720112.148773308,4,6
23,2021-04-24,-4744443.661018114,4,6
24,2021-04-25,-4744443.661018114,4,6
25,2021-04-26,-4762211.622874278,4,6
26,2021-04-27,-4762211.622874278,4,6
27,2021-04-28,-6456693.567705064,4,6
28,2021-04-29,-6577578.346534656,4,6
29,2021-04-30,-6582694.036843081,4,6
30,2021-05-01,-2658.807631692344,5,6
31,2021-05-02,-2658.807631692344,5,6
32,2021-05-03,-2658.807631692344,5,6
33,2021-05-04,-2658.807631692344,5,6
34,2021-05-05,-2658.807631692344,5,6
35,2021-05-06,-60336.89219780238,5,6
36,2021-05-07,-60336.89219780238,5,6
37,2021-05-08,-60336.89219780238,5,6
38,2021-05-09,-60336.89219780238,5,6
39,2021-05-10,-120198.20266586727,5,6
40,2021-05-11,-132112.85722911364,5,6
41,2021-05-12,-702777.0452407165,5,6
42,2021-05-13,-729110.2977356169,5,6
43,2021-05-14,-729110.2977356169,5,6
44,2021-05-15,-729110.2977356169,5,6
45,2021-05-16,-729110.2977356169,5,6
46,2021-05-17,-729110.2977356169,5,6
47,2021-05-18,-730389.5568171227,5,6
48,2021-05-19,-2140050.4401261155,5,6
49,2021-05-20,-2147908.758691497,5,6
50,2021-05-21,-2183070.1297138776,5,6
51,2021-05-22,-2211790.1622006996,5,6
52,2021-05-23,-2215768.2722650846,5,6
53,2021-05-24,-2263464.928826395,5,6
54,2021-05-25,-2263464.928826395,5,6
55,2021-05-26,-5245533.282502895,5,6
56,2021-05-27,-5327162.276949515,5,6
57,2021-05-28,-5327162.276949515,5,6
58,2021-05-29,-5327162.276949515,5,6
59,2021-05-30,-5327162.276949515,5,6
60,2021-05-31,-5328806.526086849,5,6
61,2021-06-01,0.0,6,6
62,2021-06-02,-67201.83311714973,6,6
63,2021-06-03,-67201.83311714973,6,6
64,2021-06-04,-92288.5947847007,6,6
65,2021-06-05,-110681.618108486,6,6
66,2021-06-06,-110681.618108486,6,6
67,2021-06-07,-110681.618108486,6,6
68,2021-06-08,-110681.618108486,6,6
69,2021-06-09,-251890.8655541189,6,6
70,2021-06-10,-253624.51521215515,6,6
71,2021-06-11,-268593.4994421312,6,6
72,2021-06-12,-268593.4994421312,6,6
73,2021-06-13,-271657.9624468694,6,6
74,2021-06-14,-411203.67127147503,6,6
75,2021-06-15,-411203.67127147503,6,6
76,2021-06-16,-713468.3712194299,6,6
77,2021-06-17,-821612.1483231199,6,6
78,2021-06-18,-826525.2044661386,6,6
79,2021-06-19,-826984.0850766143,6,6
80,2021-06-20,-826984.0850766143,6,6
81,2021-06-21,-844553.6790959645,6,6
82,2021-06-22,-963750.550365181,6,6
83,2021-06-23,-3470106.9795912826,6,6
84,2021-06-24,-3470106.9795912826,6,6
85,2021-06-25,-3828820.845821205,6,6
86,2021-06-26,-3828820.845821205,6,6
87,2021-06-27,-3828820.845821205,6,6
88,2021-06-28,-3828820.845821205,6,6
89,2021-06-29,-3828820.845821205,6,6
90,2021-06-30,-5400631.627816458,6,6
