,Дата транзакции,Сумма в RUB,Месяц,БЕ
0,2021-04-01,-6905617.90807526,4,4
1,2021-04-02,-6905617.90807526,4,4
2,2021-04-03,-6905617.90807526,4,4
3,2021-04-04,-6905617.90807526,4,4
4,2021-04-05,-6962120.764191159,4,4
5,2021-04-06,-8369299.797665218,4,4
6,2021-04-07,-8672061.529508598,4,4
7,2021-04-08,-27141404.5522811,4,4
8,2021-04-09,-27167009.44816081,4,4
9,2021-04-10,-27167009.44816081,4,4
10,2021-04-11,-27374046.114749517,4,4
11,2021-04-12,-28171679.774373952,4,4
12,2021-04-13,-28577330.252152573,4,4
13,2021-04-14,-28801842.556231823,4,4
14,2021-04-15,-51862704.80151537,4,4
15,2021-04-16,-52355176.98616445,4,4
16,2021-04-17,-52746504.40711442,4,4
17,2021-04-18,-52841070.151175536,4,4
18,2021-04-19,-52942336.78384109,4,4
19,2021-04-20,-52942336.78384109,4,4
20,2021-04-21,-52942336.78384109,4,4
21,2021-04-22,-70659042.58239602,4,4
22,2021-04-23,-70659042.58239602,4,4
23,2021-04-24,-70659042.58239602,4,4
24,2021-04-25,-70659042.58239602,4,4
25,2021-04-26,-70789550.64909086,4,4
26,2021-04-27,-70789550.64909086,4,4
27,2021-04-28,-70789550.64909086,4,4
28,2021-04-29,-88650065.25436622,4,4
29,2021-04-30,-88654735.59878497,4,4
30,2021-05-01,0.0,5,4
31,2021-05-02,-166260.13045252816,5,4
32,2021-05-03,-439044.5633834774,5,4
33,2021-05-04,-973605.2998029393,5,4
34,2021-05-05,-1109731.0504178687,5,4
35,2021-05-06,-9469711.616987605,5,4
36,2021-05-07,-11151148.895838268,5,4
37,2021-05-08,-11151148.895838268,5,4
38,2021-05-09,-11151148.895838268,5,4
39,2021-05-10,-11272529.281748176,5,4
40,2021-05-11,-11736868.02518827,5,4
41,2021-05-12,-11954567.777141783,5,4
42,2021-05-13,-28421865.691242874,5,4
43,2021-05-14,-28468429.41531832,5,4
44,2021-05-15,-28654446.136299275,5,4
45,2021-05-16,-28654446.136299275,5,4
46,2021-05-17,-28923349.167508665,5,4
47,2021-05-18,-29018418.335268583,5,4
48,2021-05-19,-29030488.344072226,5,4
49,2021-05-20,-51075637.389236145,5,4
50,2021-05-21,-51347292.69409594,5,4
51,2021-05-22,-51429263.78102135,5,4
52,2021-05-23,-51693258.77738653,5,4
53,2021-05-24,-51730872.39593124,5,4
54,2021-05-25,-51750710.04077945,5,4
55,2021-05-26,-52032139.37044952,5,4
56,2021-05-27,-63318188.561917156,5,4
57,2021-05-28,-63399976.75993686,5,4
58,2021-05-29,-63411982.47235358,5,4
59,2021-05-30,-63413982.72077134,5,4
60,2021-05-31,-63413982.72077134,5,4
61,2021-06-01,0.0,6,4
62,2021-06-02,0.0,6,4
63,2021-06-03,-4799627.4329285845,6,4
64,2021-06-04,-4799627.4329285845,6,4
65,2021-06-05,-4799627.4329285845,6,4
66,2021-06-06,-4799627.4329285845,6,4
67,2021-06-07,-4799627.4329285845,6,4
68,2021-06-08,-4912388.069102958,6,4
69,2021-06-09,-4912388.069102958,6,4
70,2021-06-10,-20763570.8509497,6,4
71,2021-06-11,-20763570.8509497,6,4
72,2021-06-12,-20763570.8509497,6,4
73,2021-06-13,-20812664.90964056,6,4
74,2021-06-14,-20907648.290614713,6,4
75,2021-06-15,-20907648.290614713,6,4
76,2021-06-16,-20907648.290614713,6,4
77,2021-06-17,-44649005.49489799,6,4
78,2021-06-18,-45179240.513750255,6,4
79,2021-06-19,-45179240.513750255,6,4
80,2021-06-20,-45200423.967744485,6,4
81,2021-06-21,-45222355.892374165,6,4
82,2021-06-22,-46014950.51793986,6,4
83,2021-06-23,-46090764.17314094,6,4
84,2021-06-24,-62909032.737399496,6,4
85,2021-06-25,-63071655.59327376,6,4
86,2021-06-26,-63077323.52928022,6,4
87,2021-06-27,-63087615.19555871,6,4
88,2021-06-28,-63143343.6525267,6,4
89,2021-06-29,-63203276.07998991,6,4
90,2021-06-30,-63511757.337336585,6,4
