,Дата транзакции,Сумма в RUB,БЕ
0,2021-01-01,-122463.4140335142,1
1,2021-01-02,-1373838.9326410964,1
2,2021-01-03,-70491.9940540314,1
3,2021-01-04,-1370324.0107801363,1
4,2021-01-05,-126362.80031434583,1
5,2021-01-06,-5630337.5895586265,1
6,2021-01-07,-1336990.3322479427,1
7,2021-01-08,-145677.5686952428,1
8,2021-01-09,-1378009.5372468326,1
9,2021-01-10,-107618.48158689737,1
10,2021-01-11,-1379613.5411651577,1
11,2021-01-12,-111515.65914691827,1
12,2021-01-13,-9186911.071848823,1
13,2021-01-14,-1382444.4853396132,1
14,2021-01-15,-111527.22699436078,1
15,2021-01-16,-1373809.4645300577,1
16,2021-01-17,-127892.14805326682,1
17,2021-01-18,-1386932.2133599122,1
18,2021-01-19,-85174.5721525533,1
19,2021-01-20,-9118988.445088938,1
20,2021-01-21,-1359603.3204627282,1
21,2021-01-22,-102066.05140875741,1
22,2021-01-23,-1401696.8799136754,1
23,2021-01-24,-97465.56200675982,1
24,2021-01-25,-1372086.7184614653,1
25,2021-01-26,-97256.05529601123,1
26,2021-01-27,-5836050.415470278,1
27,2021-01-28,-1364344.2897548426,1
28,2021-01-29,-105252.59764223406,1
29,2021-01-30,-1353701.614437797,1
30,2021-01-31,-84819.42344991068,1
31,2021-02-01,-1362945.6777749686,1
32,2021-02-02,-137038.27943255333,1
33,2021-02-03,-5166611.609995535,1
34,2021-02-04,-1360375.938324983,1
35,2021-02-05,-118400.53435785105,1
36,2021-02-06,-1375389.9136627815,1
37,2021-02-07,-85247.1657329912,1
38,2021-02-08,-1390911.3142872578,1
39,2021-02-09,-107047.5671569779,1
40,2021-02-10,-8099087.151746151,1
41,2021-02-11,-1396017.380558059,1
42,2021-02-12,-110005.90362510752,1
43,2021-02-13,-1375615.6025109095,1
44,2021-02-14,-115384.62738420216,1
45,2021-02-15,-1383531.4988360638,1
46,2021-02-16,-84841.95591277632,1
47,2021-02-17,-9437401.561956313,1
48,2021-02-18,-1380263.1309363195,1
49,2021-02-19,-71026.11095575694,1
50,2021-02-20,-1391198.4066761178,1
51,2021-02-21,-114260.7459608774,1
52,2021-02-22,-1375786.3994541198,1
53,2021-02-23,-93632.62019394216,1
54,2021-02-24,-6777872.052970685,1
55,2021-02-25,-1369710.152270529,1
56,2021-02-26,-88948.12761939087,1
57,2021-02-27,-1391690.8636558142,1
58,2021-02-28,-70435.85026271192,1
59,2021-03-01,-1374113.2723475373,1
60,2021-03-02,-113218.80527203456,1
61,2021-03-03,-4823907.206825719,1
62,2021-03-04,-1362501.901319814,1
63,2021-03-05,-120699.0776181481,1
64,2021-03-06,-1359289.2877062606,1
65,2021-03-07,-73667.27271052501,1
66,2021-03-08,-1386401.0313202923,1
67,2021-03-09,-124319.11786745777,1
68,2021-03-10,-6924360.762447814,1
69,2021-03-11,-1379364.50485513,1
70,2021-03-12,-140119.6309674309,1
71,2021-03-13,-1373955.0789329512,1
72,2021-03-14,-120002.7962720388,1
73,2021-03-15,-1379672.3450309504,1
74,2021-03-16,-75715.01954474702,1
75,2021-03-17,-9480754.81158725,1
76,2021-03-18,-1393775.2299104766,1
77,2021-03-19,-72171.73701968306,1
78,2021-03-20,-1392343.866460289,1
79,2021-03-21,-138245.01978559722,1
80,2021-03-22,-1374916.9356638354,1
81,2021-03-23,-75120.28511551574,1
82,2021-03-24,-8047593.209143269,1
83,2021-03-25,-1371569.745074616,1
84,2021-03-26,-79079.35244552049,1
85,2021-03-27,-1390313.8733721275,1
86,2021-03-28,-80076.533513174,1
87,2021-03-29,-1374958.5872697337,1
88,2021-03-30,-125888.96514854029,1
89,2021-03-31,-5188969.249621833,1
90,2021-04-01,-1367129.1155893377,1
91,2021-04-02,-98568.53155023252,1
92,2021-04-03,-1385900.0533967484,1
93,2021-04-04,-70654.56194404792,1
94,2021-04-05,-1387368.8285304983,1
95,2021-04-06,-152183.81875250468,1
96,2021-04-07,-5859340.946112899,1
97,2021-04-08,-1373711.3130692365,1
98,2021-04-09,-122800.70130188287,1
99,2021-04-10,-1378924.8141243206,1
100,2021-04-11,-84716.49665454144,1
101,2021-04-12,-1400901.5652930948,1
102,2021-04-13,-85054.27632074362,1
103,2021-04-14,-8826470.101088477,1
104,2021-04-15,-1385956.0641175886,1
105,2021-04-16,-100334.48451659903,1
106,2021-04-17,-1377855.4056701306,1
107,2021-04-18,-121923.48586164841,1
108,2021-04-19,-1389368.6483142758,1
109,2021-04-20,-72026.12452022807,1
110,2021-04-21,-8920254.964925995,1
111,2021-04-22,-1386836.1185118824,1
112,2021-04-23,-59653.385030494595,1
113,2021-04-24,-1394933.2671998665,1
114,2021-04-25,-106117.9682319656,1
115,2021-04-26,-1377078.242651463,1
116,2021-04-27,-91834.14639172546,1
117,2021-04-28,-6037467.47923698,1
118,2021-04-29,-1375180.0076801078,1
119,2021-04-30,-83068.93369250596,1
120,2021-05-01,-1383565.1843985363,1
121,2021-05-02,-58455.09342327217,1
122,2021-05-03,-1368914.6407979052,1
123,2021-05-04,-118524.59789279052,1
124,2021-05-05,-5198126.15386341,1
125,2021-05-06,-1355914.3487358924,1
126,2021-05-07,-120818.30780199105,1
127,2021-05-08,-1361533.4098651584,1
128,2021-05-09,-83374.65030628344,1
129,2021-05-10,-1378868.6198230367,1
130,2021-05-11,-115008.58266557436,1
131,2021-05-12,-7827001.736697051,1
132,2021-05-13,-1364784.7891823829,1
133,2021-05-14,-104779.84326099328,1
134,2021-05-15,-1381302.5120243705,1
135,2021-05-16,-120521.18299777087,1
136,2021-05-17,-1386528.073390995,1
137,2021-05-18,-83134.30257574932,1
138,2021-05-19,-9328384.724981152,1
139,2021-05-20,-1401707.1266622038,1
140,2021-05-21,-65377.44119431389,1
141,2021-05-22,-1403348.3718436367,1
142,2021-05-23,-107252.7144881045,1
143,2021-05-24,-1398174.6466855893,1
144,2021-05-25,-80549.36421299652,1
145,2021-05-26,-7124048.419526913,1
146,2021-05-27,-1396062.5615630746,1
147,2021-05-28,-74397.66079890323,1
148,2021-05-29,-1404494.4972839276,1
149,2021-05-30,-51422.16887279965,1
150,2021-05-31,-1398028.865826267,1
151,2021-06-01,-113221.97439639135,1
152,2021-06-02,-5099305.762587526,1
153,2021-06-03,-1385342.9506526112,1
154,2021-06-04,-97735.07657318441,1
155,2021-06-05,-1386567.382997747,1
156,2021-06-06,-61541.568828859294,1
157,2021-06-07,-1388179.4670478906,1
158,2021-06-08,-117587.82488717216,1
159,2021-06-09,-6758610.25565898,1
160,2021-06-10,-1379447.4909176636,1
161,2021-06-11,-128613.9482649297,1
162,2021-06-12,-1391194.3948737236,1
163,2021-06-13,-98956.94188760515,1
164,2021-06-14,-1400381.0794204166,1
165,2021-06-15,-64415.809097629215,1
166,2021-06-16,-9170802.087461354,1
167,2021-06-17,-1404480.5903010808,1
168,2021-06-18,-108884.69766231766,1
169,2021-06-19,-1401455.9375215876,1
170,2021-06-20,-132635.2746339745,1
171,2021-06-21,-1408804.8159377594,1
172,2021-06-22,-68683.79395894709,1
173,2021-06-23,-8163220.480793046,1
174,2021-06-24,-1431788.1814064563,1
175,2021-06-25,-72569.3339178187,1
176,2021-06-26,-1410583.435225674,1
177,2021-06-27,-96592.32198567521,1
178,2021-06-28,-1402009.386357988,1
179,2021-06-29,0.0,1
180,2021-06-30,-8325267.653557,1
